station,name,latitude,longitude,elevation
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,0.914
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,4.45
USC00514830,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,2.133
USC00517948,"PEARL CITY, HI US",21.3934,-157.9751,3.627
USC00518838,"UPPER WAHIAWA 874.3, HI US",21.4992,-158.0111,93.447
USC00519523,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,5.943
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,10.027
USC00511918,"HONOLULU OBSERVATORY 702.2, HI US",21.3152,-157.9992,0.274
USC00516128,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,46.449
